model,request_id,label,user_id,role,clearance,trust_score,device_trust,operational_need,resource_id,classification,sensitivity,asset_id,action,location,location_risk,threat_level,n_threats,expected,decision,risk_score,reason,obligations,debug,ground_truth_match
Improved-RADAC,S1-01,calm-internal-routine,alice,analyst,2,0.85,0.9,0.5,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.1,0,ALLOW,ALLOW,25.35,fuzzy=25.3 + ssa=0.0 = 25.3 <= 32.0,[],"{""risk"": 25.3460664919583, ""trust"": 0.8700000000000001, ""sensitivity"": 0.6, ""threat"": 0.1, ""op_need"": 0.5, ""loc_risk"": 0.1, ""fuzzy_risk"": 25.3460664919583, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-02,calm-vpn-with-need,alice,analyst,2,0.85,0.85,0.65,customer_db,2,0.6,A_customer_db,read,vpn,0.35,0.15,0,ALLOW,ALLOW_WITH_OBLIGATIONS,32.62,fuzzy=32.6 + ssa=0.0 = 32.6 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 32.62285714285719, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.15, ""op_need"": 0.65, ""loc_risk"": 0.35, ""fuzzy_risk"": 32.62285714285719, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-03,moderate-threat-strong-need,alice,analyst,2,0.85,0.9,0.85,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.45,0,ALLOW,ALLOW,14.26,fuzzy=14.3 + ssa=0.0 = 14.3 <= 32.0,[],"{""risk"": 14.256410256410255, ""trust"": 0.8700000000000001, ""sensitivity"": 0.6, ""threat"": 0.45, ""op_need"": 0.85, ""loc_risk"": 0.1, ""fuzzy_risk"": 14.256410256410255, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-04,moderate-threat-internal-routine,alice,analyst,2,0.85,0.88,0.55,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.35,0,ALLOW,ALLOW_WITH_OBLIGATIONS,32.62,fuzzy=32.6 + ssa=0.0 = 32.6 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 32.62285714285719, ""trust"": 0.8620000000000001, ""sensitivity"": 0.6, ""threat"": 0.35, ""op_need"": 0.55, ""loc_risk"": 0.1, ""fuzzy_risk"": 32.62285714285719, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-05,elevated-threat-emergency-need,alice,analyst,2,0.85,0.85,0.92,customer_db,2,0.6,A_customer_db,read,vpn,0.4,0.55,0,ALLOW,ALLOW_WITH_OBLIGATIONS,37.36,fuzzy=37.4 + ssa=0.0 = 37.4 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 37.357606635389594, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.55, ""op_need"": 0.92, ""loc_risk"": 0.4, ""fuzzy_risk"": 37.357606635389594, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-06,branch-low-threat-routine,alice,analyst,2,0.85,0.82,0.55,customer_db,2,0.6,A_customer_db,read,branch,0.3,0.2,0,ALLOW,ALLOW,30.09,fuzzy=30.1 + ssa=0.0 = 30.1 <= 32.0,[],"{""risk"": 30.087893864013296, ""trust"": 0.8380000000000001, ""sensitivity"": 0.6, ""threat"": 0.2, ""op_need"": 0.55, ""loc_risk"": 0.3, ""fuzzy_risk"": 30.087893864013296, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-07,internal-mid-threat-mid-need,alice,analyst,2,0.85,0.88,0.6,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.4,0,ALLOW,ALLOW_WITH_OBLIGATIONS,36.26,fuzzy=36.3 + ssa=0.0 = 36.3 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 36.26436781609199, ""trust"": 0.8620000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.6, ""loc_risk"": 0.1, ""fuzzy_risk"": 36.26436781609199, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-08,vpn-low-threat-low-need,alice,analyst,2,0.85,0.85,0.55,customer_db,2,0.6,A_customer_db,read,vpn,0.35,0.2,0,ALLOW,ALLOW_WITH_OBLIGATIONS,32.62,fuzzy=32.6 + ssa=0.0 = 32.6 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 32.62285714285719, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.2, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 32.62285714285719, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-09,high-threat-public-low-need,alice,analyst,2,0.85,0.45,0.2,customer_db,2,0.6,A_customer_db,read,public,0.85,0.85,0,DENY,DENY,66.53,fuzzy=66.5 + ssa=0.0 = 66.5 >= 55.0,[],"{""risk"": 66.52724038247722, ""trust"": 0.6900000000000001, ""sensitivity"": 0.6, ""threat"": 0.85, ""op_need"": 0.2, ""loc_risk"": 0.85, ""fuzzy_risk"": 66.52724038247722, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-10,active-attack-public-routine,alice,analyst,2,0.85,0.55,0.3,customer_db,2,0.6,A_customer_db,read,public,0.85,0.92,0,DENY,DENY,69.07,fuzzy=69.1 + ssa=0.0 = 69.1 >= 55.0,[],"{""risk"": 69.0718501411342, ""trust"": 0.73, ""sensitivity"": 0.6, ""threat"": 0.92, ""op_need"": 0.3, ""loc_risk"": 0.85, ""fuzzy_risk"": 69.0718501411342, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-11,elevated-threat-public-low-need,alice,analyst,2,0.85,0.55,0.25,customer_db,2,0.6,A_customer_db,read,public,0.8,0.7,0,DENY,DENY,63.4,fuzzy=63.4 + ssa=0.0 = 63.4 >= 55.0,[],"{""risk"": 63.40346465493161, ""trust"": 0.73, ""sensitivity"": 0.6, ""threat"": 0.7, ""op_need"": 0.25, ""loc_risk"": 0.8, ""fuzzy_risk"": 63.40346465493161, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-12,high-threat-unmanaged-device,alice,analyst,2,0.85,0.4,0.2,customer_db,2,0.6,A_customer_db,read,vpn,0.5,0.8,0,DENY,DENY,57.52,fuzzy=57.5 + ssa=0.0 = 57.5 >= 55.0,[],"{""risk"": 57.515723270440326, ""trust"": 0.67, ""sensitivity"": 0.6, ""threat"": 0.8, ""op_need"": 0.2, ""loc_risk"": 0.5, ""fuzzy_risk"": 57.515723270440326, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-13,public-night-low-need,alice,analyst,2,0.85,0.5,0.1,customer_db,2,0.6,A_customer_db,read,public,0.85,0.55,0,DENY,DENY,57.18,fuzzy=57.2 + ssa=0.0 = 57.2 >= 55.0,[],"{""risk"": 57.184368737475, ""trust"": 0.71, ""sensitivity"": 0.6, ""threat"": 0.55, ""op_need"": 0.1, ""loc_risk"": 0.85, ""fuzzy_risk"": 57.184368737475, ""ssa_extra"": 0.0}",match
Improved-RADAC,S1-14,high-threat-vpn-low-need,alice,analyst,2,0.85,0.55,0.2,customer_db,2,0.6,A_customer_db,read,vpn,0.45,0.85,0,DENY,DENY,57.52,fuzzy=57.5 + ssa=0.0 = 57.5 >= 55.0,[],"{""risk"": 57.515723270440326, ""trust"": 0.73, ""sensitivity"": 0.6, ""threat"": 0.85, ""op_need"": 0.2, ""loc_risk"": 0.45, ""fuzzy_risk"": 57.515723270440326, ""ssa_extra"": 0.0}",match
