request_id,label,user_id,role,clearance,trust_score,device_trust,operational_need,resource_id,classification,sensitivity,asset_id,action,location,location_risk,threat_level,n_threats,expected,threats
S2-01,pay-targeted-severe,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,DENY,"[{""id"": ""T-pay-90"", ""severity"": 0.9, ""targets"": [""A_payment_gateway""], ""affects"": [0.6, 0.9, 0.7]}]"
S2-02,pay-targeted-severe-need,bob,analyst,2,0.85,0.85,0.65,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,DENY,"[{""id"": ""T-pay-85"", ""severity"": 0.85, ""targets"": [""A_payment_gateway""], ""affects"": [0.6, 0.9, 0.7]}]"
S2-03,pay-targeted-severe-with-noise,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,2,DENY,"[{""id"": ""T-pay-90"", ""severity"": 0.9, ""targets"": [""A_payment_gateway""], ""affects"": [0.6, 0.9, 0.7]}, {""id"": ""T-bg"", ""severity"": 0.4, ""targets"": [""A_other_unrelated""], ""affects"": [0.4, 0.4, 0.4]}]"
S2-04,pay-targeted-multi,bob,analyst,2,0.85,0.85,0.5,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,2,DENY,"[{""id"": ""T-pay-80"", ""severity"": 0.8, ""targets"": [""A_payment_gateway""], ""affects"": [0.6, 0.9, 0.7]}, {""id"": ""T-pay-85"", ""severity"": 0.85, ""targets"": [""A_payment_gateway""], ""affects"": [0.6, 0.9, 0.7]}]"
S2-05,pay-quiet,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,[]
S2-06,pay-quiet-need,bob,analyst,2,0.85,0.85,0.75,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,[]
S2-07,pay-noise-only,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,ALLOW,"[{""id"": ""T-bg"", ""severity"": 0.35, ""targets"": [""A_other_unrelated""], ""affects"": [0.4, 0.4, 0.4]}]"
S2-08,pay-quiet-routine,bob,analyst,2,0.85,0.85,0.5,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,[]
S2-09,sbx-targeted-severe,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,1,ALLOW,"[{""id"": ""T-sbx-90"", ""severity"": 0.9, ""targets"": [""A_sandbox_kb""], ""affects"": [0.6, 0.9, 0.7]}]"
S2-10,sbx-targeted-severe-need,bob,analyst,2,0.85,0.85,0.65,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,1,ALLOW,"[{""id"": ""T-sbx-85"", ""severity"": 0.85, ""targets"": [""A_sandbox_kb""], ""affects"": [0.6, 0.9, 0.7]}]"
S2-11,sbx-targeted-noise,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,2,ALLOW,"[{""id"": ""T-sbx-85"", ""severity"": 0.85, ""targets"": [""A_sandbox_kb""], ""affects"": [0.6, 0.9, 0.7]}, {""id"": ""T-bg"", ""severity"": 0.3, ""targets"": [""A_other_unrelated""], ""affects"": [0.4, 0.4, 0.4]}]"
S2-12,sbx-targeted-multi,bob,analyst,2,0.85,0.85,0.5,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,2,ALLOW,"[{""id"": ""T-sbx-80"", ""severity"": 0.8, ""targets"": [""A_sandbox_kb""], ""affects"": [0.6, 0.9, 0.7]}, {""id"": ""T-sbx-85"", ""severity"": 0.85, ""targets"": [""A_sandbox_kb""], ""affects"": [0.6, 0.9, 0.7]}]"
S2-13,sbx-quiet,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,0,ALLOW,[]
S2-14,sbx-quiet-need,bob,analyst,2,0.85,0.85,0.75,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,0,ALLOW,[]
S2-15,sbx-noise-only,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,1,ALLOW,"[{""id"": ""T-bg"", ""severity"": 0.35, ""targets"": [""A_other_unrelated""], ""affects"": [0.4, 0.4, 0.4]}]"
S2-16,sbx-quiet-routine,bob,analyst,2,0.85,0.85,0.5,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,0,ALLOW,[]
